Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D50,MMSZ5246B_R1_00001,SOD-123_L2.8-W1.8-LS3.7-RD,42.3925,-8.062366,0.0,top
D51,MMSZ5267BT1G,SOD-123_L2.7-W1.6-LS3.7-RD,26.675,-10.793299,0.0,top
D52,SMAJ16A,SMA_L4.3-W2.6-LS5.0-RD,51.69225,-36.8605,0.0,top
D53,BAT46W-7-F,SOD-123_L2.8-W1.8-LS3.7-RD,99.1425,-117.861433,0.0,top
D54,MMSZ4685T1G,SOD-123_L2.8-W1.8-LS3.7-RD,99.1425,-121.292366,0.0,top
D56,SBR8U60P5-13,POWERDI-5_L5.4-W4.0-LS6.5-RD,139.062,-64.9335,0.0,top
D57,SBR8U60P5-13,POWERDI-5_L5.4-W4.0-LS6.5-RD,139.062,-70.711,0.0,top
D58,SS16T3G,SMA_L4.4-W2.8-LS5.4-RD,51.85375,-57.4155,0.0,top
D61,BZT52C15,SOD-123_L2.7-W1.6-LS3.7-RD,96.715,-33.3405,0.0,top
D62,BZT52C15,SOD-123_L2.7-W1.6-LS3.7-RD,132.185,-120.8005,0.0,top
D64,SS36,SMA_L4.4-W2.6-LS5.0-RD,112.6975,-1.5505,0.0,top
D66,SS16T3G,SMA_L4.4-W2.8-LS5.4-RD,51.85375,-61.796433,0.0,top
D67,SS16T3G,SMA_L4.4-W2.8-LS5.4-RD,51.85375,-66.177366,0.0,top
D68,SS16T3G,SMA_L4.4-W2.8-LS5.4-RD,51.85375,-70.558299,0.0,top
D69,UCLAMP3301P,DFN1006-2L-RD,106.14075,-138.8405,0.0,top
D71,BAT46W-7-F,SOD-123_L2.8-W1.8-LS3.7-RD,99.1425,-124.723299,0.0,top
D72,SS36,SMA_L4.4-W2.6-LS5.0-RD,112.6975,-5.681433,0.0,top
D75,SS36,SMA_L4.4-W2.6-LS5.0-RD,112.6975,-9.812366,0.0,top
D76,SS16T3G,SMA_L4.4-W2.8-LS5.4-RD,37.83375,-137.5555,0.0,top
D77,SS36,SMA_L4.4-W2.6-LS5.0-RD,112.6975,-13.943299,0.0,top
D78,SS36,SMA_L4.4-W2.6-LS5.0-RD,95.3175,-99.4105,0.0,top
D79,SS36,SMA_L4.4-W2.6-LS5.0-RD,95.3175,-103.541433,0.0,top
D82,TPD4E02B04DQAR,USON-10_L2.5-W1.0-P0.50-BL,106.460433,-98.8175,270.0,top
D83,TPD4E02B04DQAR,USON-10_L2.5-W1.0-P0.50-BL,133.130433,-126.9575,270.0,top
D84,SMF13A,SOD-123FL_L2.8-W1.8-LS3.6-RD,11.445,-86.881433,0.0,top
D85,SMF13A,SOD-123FL_L2.8-W1.8-LS3.6-RD,11.445,-90.312366,0.0,top
D86,SMF13A,SOD-123FL_L2.8-W1.8-LS3.6-RD,11.445,-93.743299,0.0,top
D87,MMSZ5242B,SOD-123_L2.7-W1.6-LS3.7-RD,82.925,-152.8605,0.0,top
D88,BZT52C5V6,SOD-123_L2.8-W1.8-LS3.7-RD,83.0025,-149.5305,0.0,top
DC1,20V Supply,DC-IN-TH_DC005,77.0605,-56.820433,0.0,top
ESC-6V1,PZ254V-11-02P,HDR-TH_2P-P2.54-V-M,26.450433,-136.8605,0.0,top
ESC-6V2,PZ254V-11-02P,HDR-TH_2P-P2.54-V-M,26.450433,-140.991433,0.0,top
ESC1,XL-0201UBC,LED-SMD_L0.7-W0.4-RD_BLUE,135.21,-29.158299,0.0,top
F1,XF-507P,CONN-TH_XF-507P,29.820433,-17.9705,0.0,top
F10,0466001.NRHF,F1206,96.69475,-26.73875,0.0,top
F11,JK-nSMD050-30,F1206,96.69475,-30.07625,0.0,top
F13,JK-nSMD050-30,F1206,104.92475,-125.64875,0.0,top
F6,0466001.NRHF,F1206,39.30475,-35.07875,0.0,top
F7,0466001.NRHF,F1206,39.30475,-38.41625,0.0,top
F8,0466001.NRHF,F1206,39.30475,-41.75375,0.0,top
F9,0466001.NRHF,F1206,39.30475,-45.09125,0.0,top
H1,EXT,HDR-TH_2P-P2.54-V-M,90.950433,-18.8605,0.0,top
H2,PZ254V-11-02P,HDR-TH_2P-P2.54-V-M,118.950433,-51.8405,0.0,top
H3,TSW-104-08-T-T-RA,HDR-TH_12P-P2.54-H-M-R3-C4_TSW-104-08-XXX-T-RA,5.410433,-109.685,0.0,top
H4,TSW-104-08-T-T-RA,HDR-TH_12P-P2.54-H-M-R3-C4_TSW-104-08-XXX-T-RA,17.201366,-109.685,0.0,top
H5,PZ254V-11-02P,HDR-TH_2P-P2.54-V-M,69.320433,-108.0105,0.0,top
H6,PZ254V-11-02P,HDR-TH_2P-P2.54-V-M,90.950433,-22.991433,0.0,top
L6,1.5uH,IND-SMD_L7.1-W6.5-P5.60,137.705,-3.5505,0.0,top
L7,BLM18AG601SN1D,L0603,110.51025,-98.58625,0.0,top
LED1,PSC-1608U50GC-G4,LED0603-RD_GREEN,153.4445,-47.3815,0.0,top
LED2,19-217UYOC/S3112/TR8,LED0603-RD,153.4445,-50.034,0.0,top
Q16,L2N7002SLLT1G,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,128.16525,-35.2105,270.0,top
Q32,DMN4800LSSL-13,SO-8_L4.9-W3.9-P1.27-LS5.9-BL,126.974,-12.148,0.0,top
Q41,IPT012N08N5(TOKMAS),HSOF-8_IPT007N06N,5.609,-7.072,0.0,top
Q42,IPT012N08N5(TOKMAS),HSOF-8_IPT007N06N,17.766,-7.072,0.0,top
Q43,BSS123NH6327,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,21.64,-42.7505,270.0,top
